alpha,coexpr_threshold,n_iters,ppi_weight,coexpr_weight,overall_pcc,mi_pcc,mu_pcc,mu_pcc_delta
0.1,0.3,5,0.7,0.30000000000000004,0.3140542209148407,0.549640953540802,0.10431456565856934,0.0006384700536727905
0.1,0.3,10,0.7,0.30000000000000004,0.3140542209148407,0.549640953540802,0.10431456565856934,0.0006384700536727905
0.1,0.3,20,0.7,0.30000000000000004,0.3140542209148407,0.549640953540802,0.10431456565856934,0.0006384700536727905
0.1,0.3,5,0.5,0.5,0.31414318084716797,0.549640953540802,0.10432178527116776,0.0006456896662712097
0.1,0.3,10,0.5,0.5,0.31414318084716797,0.549640953540802,0.10432178527116776,0.0006456896662712097
0.1,0.3,20,0.5,0.5,0.31414318084716797,0.549640953540802,0.10432178527116776,0.0006456896662712097
0.1,0.3,5,0.3,0.7,0.3142125904560089,0.549640953540802,0.104363813996315,0.000687718391418457
0.1,0.3,10,0.3,0.7,0.3142125904560089,0.549640953540802,0.1043638065457344,0.0006877109408378601
0.1,0.3,20,0.3,0.7,0.3142125904560089,0.549640953540802,0.1043638065457344,0.0006877109408378601
0.1,0.5,5,0.7,0.30000000000000004,0.31380778551101685,0.549640953540802,0.10429631918668747,0.0006202235817909241
0.1,0.5,10,0.7,0.30000000000000004,0.31380778551101685,0.549640953540802,0.10429631918668747,0.0006202235817909241
0.1,0.5,20,0.7,0.30000000000000004,0.31380778551101685,0.549640953540802,0.10429631918668747,0.0006202235817909241
0.1,0.5,5,0.5,0.5,0.3137909471988678,0.549640953540802,0.10424195230007172,0.0005658566951751709
0.1,0.5,10,0.5,0.5,0.3137909471988678,0.549640953540802,0.10424193739891052,0.000565841794013977
0.1,0.5,20,0.5,0.5,0.3137909471988678,0.549640953540802,0.10424193739891052,0.000565841794013977
0.1,0.5,5,0.3,0.7,0.3137790560722351,0.549640953540802,0.10420257598161697,0.0005264803767204285
0.1,0.5,10,0.3,0.7,0.3137790560722351,0.549640953540802,0.10420254617929459,0.0005264505743980408
0.1,0.5,20,0.3,0.7,0.3137790560722351,0.549640953540802,0.10420254617929459,0.0005264505743980408
0.1,0.7,5,0.7,0.30000000000000004,0.31384775042533875,0.549640953540802,0.10442821681499481,0.0007521212100982666
0.1,0.7,10,0.7,0.30000000000000004,0.31384775042533875,0.549640953540802,0.10442821681499481,0.0007521212100982666
0.1,0.7,20,0.7,0.30000000000000004,0.31384775042533875,0.549640953540802,0.10442821681499481,0.0007521212100982666
0.1,0.7,5,0.5,0.5,0.3138439357280731,0.549640953540802,0.10441654175519943,0.000740446150302887
0.1,0.7,10,0.5,0.5,0.3138439357280731,0.549640953540802,0.10441654175519943,0.000740446150302887
0.1,0.7,20,0.5,0.5,0.3138439357280731,0.549640953540802,0.10441654175519943,0.000740446150302887
0.1,0.7,5,0.3,0.7,0.31383833289146423,0.549640953540802,0.10439963638782501,0.0007235407829284668
0.1,0.7,10,0.3,0.7,0.31383833289146423,0.549640953540802,0.10439963638782501,0.0007235407829284668
0.1,0.7,20,0.3,0.7,0.31383833289146423,0.549640953540802,0.10439963638782501,0.0007235407829284668
0.3,0.3,5,0.7,0.30000000000000004,0.310247540473938,0.549640953540802,0.09712906926870346,-0.006547026336193085
0.3,0.3,10,0.7,0.30000000000000004,0.31024760007858276,0.549640953540802,0.09712814539670944,-0.006547950208187103
0.3,0.3,20,0.7,0.30000000000000004,0.31024760007858276,0.549640953540802,0.09712814539670944,-0.006547950208187103
0.3,0.3,5,0.5,0.5,0.3102703094482422,0.549640953540802,0.0968102365732193,-0.006865859031677246
0.3,0.3,10,0.5,0.5,0.310269296169281,0.549640953540802,0.09680666029453278,-0.0068694353103637695
0.3,0.3,20,0.5,0.5,0.310269296169281,0.549640953540802,0.09680666029453278,-0.0068694353103637695
0.3,0.3,5,0.3,0.7,0.3100872039794922,0.549640953540802,0.09669825434684753,-0.006977841258049011
0.3,0.3,10,0.3,0.7,0.31008535623550415,0.549640953540802,0.09669259935617447,-0.006983496248722076
0.3,0.3,20,0.3,0.7,0.31008535623550415,0.549640953540802,0.09669259935617447,-0.006983496248722076
0.3,0.5,5,0.7,0.30000000000000004,0.30939531326293945,0.549640953540802,0.097011037170887,-0.006665058434009552
0.3,0.5,10,0.7,0.30000000000000004,0.309395432472229,0.549640953540802,0.09701040387153625,-0.0066656917333602905
0.3,0.5,20,0.7,0.30000000000000004,0.309395432472229,0.549640953540802,0.09701040387153625,-0.0066656917333602905
0.3,0.5,5,0.5,0.5,0.3090277910232544,0.549640953540802,0.09617295861244202,-0.007503136992454529
0.3,0.5,10,0.5,0.5,0.3090260326862335,0.549640953540802,0.09616732597351074,-0.007508769631385803
0.3,0.5,20,0.5,0.5,0.3090260326862335,0.549640953540802,0.09616732597351074,-0.007508769631385803
0.3,0.5,5,0.3,0.7,0.3086908459663391,0.549640953540802,0.09543339163064957,-0.008242703974246979
0.3,0.5,10,0.3,0.7,0.30868613719940186,0.549640953540802,0.09542091190814972,-0.008255183696746826
0.3,0.5,20,0.3,0.7,0.30868613719940186,0.549640953540802,0.09542091190814972,-0.008255183696746826
0.3,0.7,5,0.7,0.30000000000000004,0.30995118618011475,0.549640953540802,0.09845426678657532,-0.005221828818321228
0.3,0.7,10,0.7,0.30000000000000004,0.30995211005210876,0.549640953540802,0.09845579415559769,-0.005220301449298859
0.3,0.7,20,0.7,0.30000000000000004,0.30995211005210876,0.549640953540802,0.09845579415559769,-0.005220301449298859
0.3,0.7,5,0.5,0.5,0.3099142014980316,0.549640953540802,0.09837924689054489,-0.005296848714351654
0.3,0.7,10,0.5,0.5,0.30991506576538086,0.549640953540802,0.09838052839040756,-0.005295567214488983
0.3,0.7,20,0.5,0.5,0.30991506576538086,0.549640953540802,0.09838052839040756,-0.005295567214488983
0.3,0.7,5,0.3,0.7,0.3098505139350891,0.549640953540802,0.09825313836336136,-0.005422957241535187
0.3,0.7,10,0.3,0.7,0.30985119938850403,0.549640953540802,0.0982537567615509,-0.005422338843345642
0.3,0.7,20,0.3,0.7,0.30985119938850403,0.549640953540802,0.0982537567615509,-0.005422338843345642
0.5,0.3,5,0.7,0.30000000000000004,0.29722005128860474,0.549640953540802,0.07637053728103638,-0.02730555832386017
