,EPS
TNFRSF18,-0.17297609736389502
HBE1,-0.0912324215326689
ALAS2,-0.05944886611971507
ACHE,-0.03324439735994134
IL33,-0.027596564277415414
NMB,-0.027298247869607883
MT1G,-0.02333658511644785
C11orf96,-0.023073584321110105
CA1,-0.022459780416149225
ENPP1,-0.020814854469076972
CD40LG,-0.015949151737869708
MT1F,-0.014939831285850125
PLAC9,-0.010979494316223304
COCH,-0.009147290107110448
MT1X,-0.007894444959016148
HBD,-0.0063103271397025075
FKBP8,-0.004927545974548621
TNFRSF17,-0.00381778186726462
DERL3,-0.003795361501842028
NR4A2,-0.0029695118784941418
SOD3,-0.002858876241197904
TM4SF1,-0.0005619642472409304
LEPR,0.0020145818468399247
LINC00636,0.006296721450428125
RAMP2,0.008226067715198947
TSPAN33,0.008710282148700158
SLC25A39,0.00879192007915658
NR2F2,0.009524615449930614
PBXIP1,0.011173188588378865
INSIG1,0.01183078286215027
FCRL5,0.012643431904598327
DUSP2,0.013145878996767895
ADAM12,0.01404728955465737
TUBB2B,0.014379662069409266
CDC20,0.014445575158625984
TFPI,0.014556925042810805
MT1A,0.014566570604369788
BCAN,0.015900243373182518
RRM2,0.016303680764404298
CRYAB,0.016318012747433365
PTGR1,0.01638263559606593
TMEM150C,0.017804977604217325
NDUFA4L2,0.018185657378636838
MYC,0.019429264049660094
RASSF8,0.019811003795596648
PKIB,0.019884224977891083
CD83,0.01996055447156355
FAM210B,0.020342210919708448
HMGB2,0.020601982391955598
ID4,0.020661642351034154
IGFBP2,0.020679326108864245
SLC25A37,0.021022553452895363
IGFBP3,0.022853396105935633
ZNF667-AS1,0.023000099392968248
SNCA,0.0239002434943643
FRZB,0.024455067909606668
SOX15,0.025719467415727285
G0S2,0.025943247564459673
CCR7,0.026414923228789657
CPVL,0.026473291365990692
CENPF,0.026520928285757008
CDK1,0.0275045248220153
CYB561A3,0.029230709711010133
MKI67,0.030154834084427175
CLEC9A,0.03085385460591032
BIRC5,0.030858253665983826
S100A13,0.030936796358122107
IDO1,0.03097718589018038
KRT18,0.03142062089410036
CD79A,0.03181774609704902
CLDN5,0.03191275225085926
NUSAP1,0.03289056630789591
MMP27,0.03372042474510289
GYPC,0.03386485256563879
UBE2C,0.034020187246052824
