,EPS
DNAAF1,-0.03037553652169623
NDUFA4L2,-0.021086092771544822
CCL20,-0.016521612857728848
CLIC6,-0.015609760790920616
CSF3,-0.015048875317573122
CTH,-0.014548572380036408
NPM3,-0.012825350527074082
C2orf42,-0.010408013203944808
CXCL5,-0.010144331281307359
MUC6,-0.009734073856223815
CYP1A1,-0.008716038145081833
SNAI1,-0.008195216853981002
SSTR2,-0.00808952384216874
RORC,-0.0071737483964086435
MYBPC1,-0.0035530799923719127
LAG3,-0.002685718841528686
REXO4,-0.0006962927697890971
THAP2,-0.0003791431129246861
EIF4EBP1,0.0010096027947963547
ESM1,0.0020210171853024053
TIFA,0.0022697565101822918
ELF5,0.003264115319346102
SOX18,0.0035429826615607928
LY86,0.0042880896209640295
DAPK3,0.005229980157609813
LGALSL,0.0053988323711664865
LILRA4,0.006041764010503322
AVPR1A,0.006947010747231357
APOBEC3B,0.007505396400532655
TCL1A,0.007623964036472828
PLD4,0.007683470087176614
FOXP3,0.008458898723645008
PELI1,0.008595524185501703
OXTR,0.00916813126020427
CD79B,0.009445556432977148
MMP1,0.009680304361497714
KLRF1,0.009746907442905137
APOBEC3A,0.012213110396148785
CLEC9A,0.012347300912427606
ANKRD28,0.01246490835873306
DUSP5,0.01278525954444926
CLCA2,0.014547739603330164
RAB30,0.014721277174625952
NCAM1,0.01478190708422699
DUSP2,0.014898871653512799
GZMK,0.015735303073515554
AQP3,0.016257633662199896
PGR,0.016520997341751806
PDCD1LG2,0.017290840884387614
CXCL16,0.01779686046918907
CDC42EP1,0.018249135495983063
AHSP,0.018911648355634126
MAP3K8,0.01958035092041414
DNTTIP1,0.01999062988659174
SLC25A37,0.020021235887351965
CD80,0.020509689064632596
EGFL7,0.02051411273058578
APOC1,0.02072548480727344
S100A8,0.021010718133761697
SCGB2A1,0.0217403804861665
FOXC2,0.02329299000262326
PDE4A,0.023475352026078505
KARS,0.023558893645132008
TAC1,0.024485947789800455
GZMB,0.0246020329746337
RAPGEF3,0.02472101750081044
TNFRSF17,0.024838784571278562
PTRHD1,0.024861478990593936
CCL8,0.02497470072035664
TUBA4A,0.025182588808711843
ANKRD29,0.026617158946078755
CLECL1,0.027002839463748728
FSTL3,0.027131981785469408
WARS,0.02739400808779367
IL2RA,0.02751854861891287
DERL3,0.028602842445852206
SLC4A1,0.028860311831206086
TCF15,0.029687892136054186
CPA3,0.029935420148034096
ANGPT2,0.030084878143819733
CD274,0.030627890146404622
EDN1,0.030913675162043536
KDR,0.03127161371645036
PPARG,0.03146599016151702
CD83,0.031603399586642995
PCOLCE,0.03168040809591534
LIF,0.03225351126479
TCEAL7,0.03275604356812174
GNLY,0.032964444973214796
C5orf46,0.033487958654144875
CX3CR1,0.03353721981496444
TUBB2B,0.0338738306326478
NOSTRIN,0.03406166858715658
AKR1C3,0.03412509314959221
CLDN5,0.034494764019050994
MKI67,0.0354297264386345
TRIB1,0.035827781148649485
TPSAB1,0.03616916398852933
TYROBP,0.03622296502991186
HOXD9,0.03633403141049673
TIMP4,0.036853116254149956
KIT,0.03694759227116725
PDCD1,0.0378021811032143
FCER1A,0.03812916207584591
BACE2,0.03833423029849875
CD1C,0.03865605845544824
CD19,0.03920219571055291
CEACAM8,0.03925158895270289
ITGAM,0.039517126996579256
CCPG1,0.0396813888726219
BTNL9,0.040015882814301906
SEC11C,0.0400703329302124
FAM49A,0.040492110078895055
SOX17,0.040818125088086625
HPX,0.0408667648287189
IL3RA,0.04187254316167116
FCGR3A,0.04315271578641221
HAVCR2,0.04320141354249832
C15orf48,0.04432639194590468
ALDH1A3,0.04451900400609518
PIGR,0.044560858575234626
GJB2,0.04602599580100417
SERPINB9,0.04643766951990279
CTSG,0.04708394528086541
OCIAD2,0.04791974839835749
CD79A,0.047994361576926776
CAVIN2,0.04882833526172174
UCP1,0.050128849480377435
AKR1C1,0.050187221964108665
FBLIM1,0.05083107644630809
VOPP1,0.051413725197389376
STC1,0.05151789075141859
OPRPN,0.054299398298418775
TRAPPC3,0.054361225998645846
MMRN2,0.0551479170017786
MYH11,0.05551410021434293
PIM1,0.056186544254303465
FAM107B,0.05680706046825497
CD86,0.057267178881629494
RAMP2,0.05761113433856904
DMKN,0.058035433994859754
ACTG2,0.05836359934474681
HMGA1,0.059070939156857974
CLEC14A,0.059407999311181
HOXD8,0.0594423011242062
VWF,0.06086039458965006
KRT23,0.0617000732945688
SPIB,0.06190545848346044
CD14,0.0653358038795955
RUNX1,0.06609305368465512
PRF1,0.0662194617805005
KLRC1,0.06746933364512575
MEDAG,0.06810751570760844
NKG7,0.06815746301949283
SVIL,0.06840343215778047
MNDA,0.06840391015279838
MZB1,0.06864895756806551
ITGAX,0.06943152032006701
IGSF6,0.07288891394978475
SDC4,0.07484847656833762
PTN,0.07493142108368703
EGFR,0.07643439057896642
CD8B,0.07725905075357639
KRT6B,0.0790167633786235
KLRD1,0.08101313297241405
SRPK1,0.08122965514175005
KRT16,0.08137101991074672
MPO,0.08146196429279316
ITM2C,0.08169662673879244
BASP1,0.08194520152486189
C1QC,0.08222520189088438
ERN1,0.08283297132839038
EDNRB,0.08300362584456357
CRHBP,0.0832002051704472
SMAP2,0.08339896859063074
ESR1,0.08481166724202775
MMP12,0.0855940979875649
BANK1,0.08676464083561203
SEC24A,0.08775207377119638
CD93,0.08832360870832905
CENPF,0.0883349258778352
TOMM7,0.08909557660367134
KRT15,0.09020438398051966
RTKN2,0.0902289906047495
LRRC15,0.09129857175873868
RHOH,0.09148696826187287
C1QA,0.09284924470119474
TIGIT,0.09567916092029466
DSC2,0.09582453941342824
